IFNCODE;IFNNAME
1;Heberdenia bahamensis
2;Amelanchier ovalis
3;Frangula alnus
4;Rhamnus alaternus
5;Euonymus europaeus
6;Myrtus communis
7;Acacia spp.
8;Phillyrea latifolia
9;Cornus sanguinea
10;Sin asignar
11;Ailanthus altissima
12;Malus sylvestris
13;Celtis australis
14;Taxus baccata
15;Crataegus spp.
16;Pyrus spp.
17;Cedrus atlantica
18;Chamaecyparis lawsoniana
19;Otras coníferas
20;Pinos
21;Pinus sylvestris
22;Pinus uncinata
23;Pinus pinea
24;Pinus halepensis
25;Pinus nigra
26;Pinus pinaster
27;Pinus canariensis
28;Pinus radiata
29;Otros pinos
30;Mezcla de coníferas
31;Abies alba
32;Abies pinsapo
33;Picea abies
34;Pseudotsuga menziesii
35;Larix spp.
36;Cupressus sempervirens
37;Juniperus communis
38;Juniperus thurifera
39;Juniperus phoenicea
40;Quercus
41;Quercus robur
42;Quercus petraea
43;Quercus pyrenaica
44;Quercus faginea
45;Quercus ilex
46;Quercus suber
47;Quercus canariensis
48;Quercus rubra
49;Otros quercus
50;Mezcla de árboles de ribera
51;Populus alba
52;Populus tremula
53;Tamarix spp.
54;Alnus glutinosa
55;Fraxinus angustifolia
56;Ulmus minor
57;Salix spp.
58;Populus nigra
59;Otros árboles ripícolas
60;Mezcla de eucaliptos
61;Eucalyptus globulus
62;Eucalyptus camaldulensis
63;Otros eucaliptos
64;Eucalyptus nitens
65;Ilex aquifolium
66;Olea europaea
67;Ceratonia siliqua
68;Arbutus unedo 
69;Phoenix spp.
70;Mezcla de frondosas de gran porte
71;Fagus sylvatica
72;Castanea sativa
73;Betula spp.
74;Corylus avellana
75;Juglans regia
76;Acer campestre
77;Tilia spp.
78;Sorbus spp.
79;Platanus hispanica
80;Laurisilva
81;Myrica faya
82;Ilex canariensis
83;Erica arborea
84;Persea indica
85;Sideroxylon mirmulans
86;Picconia excelsa
87;Ocotea phoetens
88;Apollonias barbujana
89;Otras laurisilvas
90;Mezcla de pequeñas frondosas
91;Buxus sempervirens
92;Robinia pseudacacia
93;Pistacia terebinthus
94;Laurus nobilis
95;Prunus spp.
96;Rhus coriaria
97;Sambucus nigra
98;Carpinus betulus
99;Otras frondosas
207;Acacia melanoxylon
215;Crataegus monogyna
217;Cedrus deodara
219;Tetraclinis articulata
235;Larix decidua
236;Cupressus arizonica
237;Juniperus oxycedrus
238;Juniperus turbinata
239;Juniperus sabina
243;Quercus pubescens
244;Quercus lusitanica
253;Tamarix canariensis
255;Fraxinus excelsior
256;Ulmus glabra
257;Salix alba
258;Populus x canadensis
264;Eucalyptus viminalis
268;Arbutus canariensis
273;Betula alba
275;Juglans nigra
276;Acer monspessulanum
277;Tilia cordata
278;Sorbus aria
279;Platanus orientalis
282;Ilex platyphylla
283;Erica scoparia
289;Pleiomeris canariensis
291;Buxus balearica
292;Sophora japonica
293;Pistacia atlantica
294;Laurus azorica
295;Prunus spinosa
297;Sambucus racemosa
299;Ficus carica
307;Acacia dealbata
315;Crataegus laevigata
317;Cedrus libani
319;Thuja spp.
335;Larix leptolepis
336;Cupressus lusitanica
337;Juniperus cedrus
355;Fraxinus ornus
356;Ulmus pumila
357;Salix atrocinerea
364;Eucalyptus gomphocephalus
369;Chamaerops humilis
373;Betula pendula
376;Acer negundo
377;Tilia platyphyllos
378;Sorbus aucuparia
389;Rhamnus glandulosa
392;Gleditsia triacanthos
395;Prunus avium
399;Morus spp.
415;Crataegus lacinata
435;Larix x eurolepis
436;Cupressus macrocarpa
469;Phoenix canariensis
457;Salix babylonica
476;Acer opalus
478;Sorbus domestica
489;Visnea mocanera
495;Prunus lusitanica
499;Morus alba
515;Crataegus azarolus
557;Salix cantabrica
569;Dracaena drago
576;Acer pseudoplatanus
578;Sorbus torminalis
595;Prunus padus
599;Morus nigra
657;Salix caprea
676;Acer platanoides
678;Sorbus latifolia
757;Salix elaeagnos
778;Sorbus chamaemespilus
857;Salix fragilis
858;Salix canariensis
957;Salix purpurea
917;Cedrus spp.
936;Cupressus spp.
937;Juniperus spp.
955;Fraxinus spp.
956;Ulmus spp.
975;Juglans spp.
976;Acer spp.
997;Sambucus spp.
1500;Cultivo en mosaico
8000;Matorral en mosaico
9000;Herbazal en mosaico
3400;Prado en mosaico
3500;Pastizal-Matorral en mosaico
101;Cistus spp.
102;Erica spp.
103;Otras papilionoideas altas
104;Otras papilionoideas bajas
105;Quercus coccifera
106;Calluna vulgaris
107;Arctostaphylos uva-ursi
108;Rhododendron spp.
109;Lavandula spp.
110;Daphne spp.
111;Pistacia lentiscus
112;Ligustrum vulgare
113;Phillyrea angustifolia
114;Rosmarinus officinalis
115;Viburnum spp.
116;Berberis vulgaris
117;Halimium spp.
118;Cotoneaster spp.
119;Rosa spp.
120;Daboecia cantabrica
121;Rubus spp.
122;Rhamnus spp.
123;Zizyphus lotus
124;Bupleurum spp.
125;Anthyllis cytisoides
126;Artemisia spp.
127;Santolina rosmarinifolia
128;Helichrysum stoechas
129;Thymus spp.
130;Ruscus aculeatus
131;Ribes spp.
132;Clematis spp.
133;Atriplex spp.
134;Spiraea spp.
135;Osyris spp.
136;Chamaespartium tridentatum
137;Vaccinium myrtillus
138;Asparagus spp.
139;Coriaria myrtifolia
140;Globularia alypum
141;Hedera helix
142;Helianthemum spp.
143;Jasminum fruticans
144;Lonicera spp.
145;Medicago arborea
146;Nerium oleander
147;Paliurus spina-christi
148;Prunus mahaleb
149;Smilax aspera
150;Ampelodesmos mauritanica
151;Thymelaea spp.
152;Coronilla emerus
153;Cytisophyllum sessilifolium
154;Dorycnium pentaphyllum
155;Genista spp.
156;Ononis tridentata
157;Ulex parviflorus
158;Maytenus canariensis
159;Artemisia canariensis
160;Chamaecytisus proliferus
161;Echium spp.
162;Euphorbia spp.
163;Hypericum canariensis
164;Kleinia neriifolia
165;Teline spp.
166;Rumex lunaria
170;Vella spp.
171;Phlomis spp.
172;Corema spp.
173;Ephedra spp.
174;Vitis vinifera
175;Anagyris spp.
176;Stauracanthus boivinii
177;Echinospartum spp.
178;Dittrichia viscosa
179;Teucrium spp.
180;Sideritis spp.
181;Securinega tinctoria
182;Lithodora spp.
183;Periploca laevigata
184;Withania frutescens
185;Launaea arborescens
186;Salsola spp.
197;Sambucus palmensis
1101;Cistus ladanifer
1102;Erica arborea
1103;Ulex spp.
1104;Erinacea spp.
1105;Quercus fruticosa
1108;Rhododendron ponticum
1109;Lavandula latifolia
1110;Daphne gnidium
1114;Rosmarinus tomentosus
1115;Viburnum rigidum
1117;Halimium halimifolium
1121;Rubus caesius
1122;Rhamnus lycioides
1124;Bupleurum fruticosum
1127;Santolina spp.
1128;Helichrysum italicum
1129;Thymus mastichina
1130;Ruscus hypophyllum
1131;Ribes alpinum
1132;Clematis flammula
1135;Osyris alba
1139;Juniperus sabina
1144;Lonicera etrusca
1152;Coronilla glauca
1154;Dorycnium hirsutum
