IFNCODE;IFNNAME
102;Erica spp.
105;Quercus coccifera
106;Calluna vulgaris
107;Arctostaphylos uva-ursi
109;Lavandula spp.
110;Daphne spp.
111;Pistacia lentiscus
112;Ligustrum vulgare
113;Phillyrea angustifolia
114;Rosmarinus officinalis
115;Viburnum spp.
116;Berberis vulgaris
117;Halimium spp.
118;Cotoneaster spp.
119;Rosa spp.
120;Daboecia cantabrica
121;Rubus spp.
122;Rhamnus spp.
124;Bupleurum spp.
126;Artemisia spp.
127;Santolina rosmarinifolia
129;Thymus spp.
130;Ruscus aculeatus
131;Ribes spp.
132;Clematis spp.
133;Atriplex spp.
136;Pterospartum tridentatum
137;Vaccinium myrtillus
138;Asparagus spp.
139;Coriaria myrtifolia
140;Globularia alypum
141;Hedera helix
142;Helianthemum spp.
143;Jasminum fruticans
144;Lonicera spp.
146;Nerium oleander
149;Smilax aspera
151;Thymelaea spp.
153;Cytisophyllum sessilifolium
154;Dorycnium pentaphyllum
155;Genista spp.
156;Ononis tridentata
157;Ulex parviflorus
165;Teline spp.
167;Cytisus arboreus
169;Aphyllanthes monspeliensis
171;Phlomis spp. 
173;Ephedra spp.
177;Echinospartum spp. 
179;Teucrium spp.
181;Flueggea tinctoria
182;Lithodora spp.
200;Amelanchier ovalis
300;Frangula alnus
500;Euonymus europaeus
600;Myrtus communis
900;Cornus sanguinea
1095;Prunus mahaleb
1101;Cistus ladanifer
1102;Erica arborea
1103;Ulex spp.
1109;Lavandula latifolia
1110;Daphne gnidium
1117;Halimium halimifolium
1122;Rhamnus lycioides
1124;Bupleurum fruticosum
1127;Santolina spp.
1129;Thymus mastichina
1132;Clematis flammula
1134;Spiraea hypericifolia
1135;Osyris alba
1137;Vaccinium spp.
1138;Asparagus acutifolius
1139;Juniperus sabina
1144;Lonicera etrusca
1154;Dorycnium hirsutum
1156;Genista hirsuta
1165;Retama sphaerocarpa
1166;Erinacea anthyllis
1167;Cytisus scoparius
1170;Vella spinosa
1171;Phlomis lychnitis 
1179;Teucrium fruticans
1189;Cytisus striatus
1190;Cytisus villosus
1202;Erica tetralix
1255;Genista anglica
1355;Genista cinerascens
1455;Genista falcata
1555;Genista florida
1655;Genista hispanica
1755;Genista hystrix
2101;Cistus populifolius
2102;Erica australis
2103;Adenocarpus spp.
2104;Calicotome spinosa
2105;Calicotome spp.
2109;Lavandula stoechas
2110;Daphne laureola
2111;Cistus psilosepalus
2115;Viburnum tinus
2121;Rubus idaeus
2124;Bupleurum fruticescens
2127;Santolina chamecyparissus
2128;Helichrysum spp.
2132;Clematis vitalba
2135;Osyris lanceolata
2138;Asparagus albus
2144;Lonicera implexa
2156;Genista triacanthos
2165;Retama monosperma
2167;Cytisus cantabricus
2171;Phlomis purpurea 
2910;Buxus balearica
2950;Prunus spinosa
2970;Sambucus racemosa
3101;Cistus albidus
3102;Erica vagans
3109;Lavandula lanata
3110;Daphne mezereum
3115;Viburnum lantana
3144;Lonicera periclymenum
3152;Coronilla juncea
3155;Genista scorpius
3163;Adenocarpus telonensis
3164;Ulex minor
3167;Cytisus multiflorus
3690;Chamaerops humilis
3700;Juniperus communis ssp. alpina
4101;Cistus clusii
4102;Erica multiflora
4103;Retama spp.
4104;Cytisus spp.
4109;Lavandula pedunculata
4115;Viburnum opulus
4117;Halimium atriplicifolium
4167;Cytisus oromediterraneus
5101;Cistus monspeliensis
5102;Erica cinerea
5104;Coronilla spp.
5117;Halimium ocymoides
5144;Lonicera xylosteum
6101;Cistus salviifolius
6102;Erica scoparia
6103;Ulex europaeus
6104;Astragalus spp.
6117;Halimium umbellatum
6122;Rhamnus alaternus
7101;Cistus crispus
7102;Erica umbellata
7103;Colutea arborescens
7104;Dorycnium spp.
7155;Genista umbellata
8101;Cistus laurifolius
8102;Erica ciliaris
8104;Ononis spp.
8155;Genista cinerea
9100;Buxus sempervirens
9102;Erica erigena
9103;Spartium junceum
9300;Pistacia terebinthus
9071;Buxus balearica
9072;Calicotome infesta
9073;Cistus creticus
9074;Cytisus fontanesii subsp. fontanesii
9075;Genista dorycnifolia
9076;Medicago arborea
9077;Teline linifolia
9078;Teline monspessulana
9011;Cytisus commutatus
9012;Lonicera pyrenaica
9201;Cytisus commutatus
9202;Teline monspessulana
9481;Cytisus commutatus
2108;Rhododendron ferrugineum
108;Rhododendron spp.
9914;Teline monspessulana
