IFNCODE;IFNNAME;COMMONNAME
1;Heberdenia bahamensis;Aderno
7;Acacia spp.;Acacia 
8;Phillyrea latifolia;Labiérnago
10;Sin asignar;Sin asignar
11;Ailanthus altissima;Ailanto
12;Malus sylvestris;Manzano silvestre
13;Celtis australis;Almez
14;Taxus baccata;Tejo
15;Crataegus spp.;Crataegus
16;Pyrus spp.;Peral silvestre
17;Cedrus atlantica;Cedro
18;Chamaecyparis lawsoniana;Chameciparis
19;Otras coníferas;Otras coníferas
20;Pinos;Pinos
21;Pinus sylvestris;Pino silvestre
22;Pinus uncinata;Pino uncinata
23;Pinus pinea;Pino piñonero
24;Pinus halepensis;Pino halepensis
25;Pinus nigra;Pino laricio
26;Pinus pinaster;Pino pináster
27;Pinus canariensis;Pino canario
28;Pinus radiata;Pino radiata
29;Otros pinos;Otros pinos
30;Mezcla de coníferas;Coníferas, excepto pinos
31;Abies alba;Pinabete
32;Abies pinsapo;Pinsapo
33;Picea abies;Pícea
34;Pseudotsuga menziesii;Seudotsuga
35;Larix spp.;Alerce
36;Cupressus sempervirens;Ciprés
37;Juniperus communis;Enebro común
38;Juniperus thurifera;Sabina albar
39;Juniperus phoenicea;Sabina negral
40;Quercus;Quercus
41;Quercus robur;Roble pedunculado
42;Quercus petraea;Roble
43;Quercus pyrenaica;Rebollo
44;Quercus faginea;Quejigo fagínea
45;Quercus ilex ssp. ballota;Encina
46;Quercus suber;Alcornoque
47;Quercus canariensis;Quejigo bética
48;Quercus rubra;Roble americano
49;Otros quercus;Otros quercus
50;Mezcla de árboles de ribera;Árboles ripícolas
51;Populus alba;Álamo
52;Populus tremula;Chopo temblón
53;Tamarix spp.;Taraje
54;Alnus glutinosa;Aliso
55;Fraxinus angustifolia;Fresno
56;Ulmus minor;Olmo
57;Salix spp.;Sauce
58;Populus nigra;Chopo
59;Otros árboles ripícolas;Otros árboles ripícolas
60;Mezcla de eucaliptos;Eucaliptos
61;Eucalyptus globulus;Eucalipto globulus
62;Eucalyptus camaldulensis;Eucalipto rostrata
63;Otros eucaliptos;Otros eucaliptos
64;Eucalyptus nitens;Eucalipto nitens
65;Ilex aquifolium;Acebo
66;Olea europaea;Acebuche
67;Ceratonia siliqua;Algarrobo
68;Arbutus unedo ;Madroño
69;Phoenix spp.;Palmera
70;Mezcla de frondosas de gran porte;Frondosas de gran porte excepto Quercus (H.t.>10 m)
71;Fagus sylvatica;Haya
72;Castanea sativa;Castaño
